gh_id, paper_doi, reuse_type, comment, citation_number, reused_doi, alt_url, page_num,,,,
yrahul3910,https://doi.org/10.1145/3382494.3410694,method,Kitchenham,[23],,https://www.inf.ufsc.br/~aldo.vw/kitchenham.pdf,p2,,,,
yrahul3910,https://doi.org/10.1145/3382494.3410684,method,Union model,[11],https://doi.org/10.1109/ASE.2003.1240292,,p2,,,,
yrahul3910,https://doi.org/10.1145/3382494.3410684,method,Clustering,[23],,https://dl.acm.org/doi/book/10.5555/1394399,p2,,,,
yrahul3910,https://doi.org/10.1145/3382494.3410684,metric,Tarantula,[6],https://doi.org/10.1145/581339.581397,,p2,,,,
yrahul3910,https://doi.org/10.1145/3382494.3410684,method,Tarantula,[12],https://doi.org/10.1145/581339.581397,,p2,,,,
yrahul3910,https://doi.org/10.1145/3382494.3410684,metric,jaccard,[13],https://doi.org/10.1111/j.1469-8137.1912.tb05611.x,,p3,,,,
yrahul3910,https://doi.org/10.1145/3382494.3410684,metric,Ochiai,[15],,https://www.jstage.jst.go.jp/article/suisan1932/22/9/22_9_522/_article,p3,,,,
yrahul3910,https://doi.org/10.1145/3382494.3410684,method,Ochiai usage,[16],https://doi.org/10.1109/PRDC.2006.18,,p3,,,,
yrahul3910,https://doi.org/10.1145/3382494.3410684,metric,Ochiai2,[17],,https://www.jstage.jst.go.jp/article/suisan1932/22/9/22_9_522/_article,p3,,,,
yrahul3910,https://doi.org/10.1145/3382494.3410684,method,Ochiai2 usage,[18],,https://www.semanticscholar.org/paper/Automatic-Error-Detection-Techniques-Based-on-in-of-S%C3%A1nchez/bfcf204a00badb60f57691a6d0ced5ea85a95a1a,p3,,,,
yrahul3910,https://doi.org/10.1145/3382494.3410684,metric,D*,[19],https://doi.org/10.1109/TR.2013.2285319,,p3,,,,
yrahul3910,https://doi.org/10.1145/3382494.3410684,metric,Wong3,[20],https://doi.org/10.1109/COMPSAC.2007.109,,p3,,,,
yrahul3910,https://doi.org/10.1145/3382494.3410684,method,Wong3,[21],https://doi.org/10.1016/j.jss.2009.09.037,,p3,,,,
yrahul3910,https://doi.org/10.1145/3382494.3410684,metric,Kulczynski2,[22],,,p3,,,,
yrahul3910,https://doi.org/10.1145/3382494.3410684,statistics,Pratt correction,[26],https://doi.org/10.1080/01621459.1959.10501526,,p5,,,,
yrahul3910,https://doi.org/10.1145/3382494.3410684,statistics,Holm's correction,[27],, https://www.jstor.org/stable/4615733 ,p5,,,,
yrahul3910,https://doi.org/10.1145/3382494.3410684,statistics,Vargha-Delaney,[28],,https://www.jstor.org/stable/1165329,p5,,,,
yrahul3910,https://doi.org/10.1145/3382494.3410689,method,Award-Worker model,[26],https://doi.org/10.1109/esem.2015.7321192,,p4,,,,
yrahul3910,https://doi.org/10.1145/3382494.3410689,method,Clustering,[7],https://doi.org/10.1109/SOFTWAREMINING.2017.8100851,,p5,,,,
yrahul3910,https://doi.org/10.1145/3382494.3410632,method,Hoegl & Gemunden,[13],, https://www.jstor.org/stable/3085981 ,p1,,,,
yrahul3910,https://doi.org/10.1145/3382494.3410632,method,Norwegian study,[27],https://doi.org/10.1016/j.jss.2016.09.028,,p3,,,,
yrahul3910,https://doi.org/10.1145/3382494.3410632,method,measurement,[30],https://doi.org/10.1007/s10664-020-09860-5,,p5,,,,
yrahul3910,https://doi.org/10.1145/3382494.3410632,method,Composition models,[4],https://doi.org/10.1037/0021-9010.83.2.234,,p9,,,,
yrahul3910,https://doi.org/10.1145/3382494.3410632,method,rwg,[24],http://dx.doi.org/10.1037/0021-9010.69.1.85,,p8,,,,
yrahul3910,https://doi.org/10.1145/3382494.3410690,method,Collaborative filtering,[21],,https://dl.acm.org/doi/10.5555/1768197.1768208,p1,,,,
yrahul3910,https://doi.org/10.1145/3382494.3410690,method,MNBN,[8],https://doi.org/10.1145/3383219.3383227,,p1,,,,
yrahul3910,https://doi.org/10.1145/3382494.3410690,method,Encoding,[20],https://doi.org/10.1145/371920.372071,,p3,,,,
yrahul3910,https://doi.org/10.1145/3382494.3410690,metrics,Metrics used,[19],https://doi.org/10.1109/MS.2009.161,,p6,,,,
yrahul3910,https://doi.org/10.1145/3382494.3410674,method,Z3,[14],https://doi.org/10.1007/978-3-540-78800-3_24,,p1,,,,
yrahul3910,https://doi.org/10.1145/3382494.3410674,method,MathSAT5,[10],https://doi.org/10.1007/978-3-642-36742-7_7,,p1,,,,
yrahul3910,https://doi.org/10.1145/3382494.3410674,method,CVC4,[7],https://doi.org/10.1007/978-3-642-22110-1_14,,p1,,,,
yrahul3910,https://doi.org/10.1145/3382494.3410674,method,Yices2,[15],https://doi.org/10.1007/978-3-319-08867-9_49,,p1,,,,
yrahul3910,https://doi.org/10.1145/3382494.3410674,tool,JKind,[19],,https://arxiv.org/pdf/1712.01222v1.pdf,p2,,,,
yrahul3910,https://doi.org/10.1145/3382494.3410674,tool,JKind,[26],,https://clc.cs.uiowa.edu/Kind/Papers/Hag-PHD-08.pdf,p2,,,,
yrahul3910,https://doi.org/10.1145/3382494.3410674,tool,Lustre,lustre,https://doi.org/10.1109/5.97300,,p3,,,,
yrahul3910,https://doi.org/10.1145/3382494.3410674,method,EV test oracles,[23],https://doi.org/10.1109/TSE.2015.2436920,,p5,,,,
yrahul3910,https://doi.org/10.1145/3382494.3410691,dataset,ISBSG,[16],,https://www.isbsg.org/isbsg-productivity-data-query/,p3,,,,
yrahul3910,https://doi.org/10.1145/3382494.3410691,method,ISBSG guide,[15],,https://isbsg.org/wp-content/uploads/2017/01/Productivity-Data-Query-User-Guide.pdf,p3,,,,
yrahul3910,https://doi.org/10.1145/3382494.3410691,method,Kitchenham & Mendes,[30],https://doi.org/10.1109/METRIC.2004.1357920,,p4,,,,
yrahul3910,https://doi.org/10.1145/3382494.3410691,method,Kitchenham & Mendes,[17],,https://dl.acm.org/doi/abs/10.1145/1540438.1540444,p4,,,,
yrahul3910,https://doi.org/10.1145/3382494.3410691,statistics,Lavazza & Morasca,[22],https://doi.org/10.1145/3084226.3084260,,p5,,,,
