gh_id,paper_doi,reuse_type,comment,citation_number,reused_doi,alt_url,page_num,time
anjiperera,https://doi.org/10.1145/3377811.3380359,stepping stones,S3FP,16,10.1145/2555243.2555265,,2,
anjiperera,https://doi.org/10.1145/3377811.3380359,stepping stones,KLEE-FLOAT,28,10.1109/ASE.2017.8115670,,2,
anjiperera,https://doi.org/10.1145/3377811.3380359,sanity check,Cancellation check,10,10.1145/2509136.2509526,,5,
anjiperera,https://doi.org/10.1145/3377811.3380359,sanity check,Cancellation check,25,10.1016/j.parco.2012.08.002,,5,
anjiperera,https://doi.org/10.1145/3377811.3380359,tool,KLEE-Float - SE engine,3,,https://github.com/srg-imperial/klee-float,8,
anjiperera,https://doi.org/10.1145/3377811.3380359,method,,16,10.1145/2555243.2555265,,9,
anjiperera,https://doi.org/10.1145/3377811.3380405,method,taxonomy of documentation issues,2,10.1109/ICSE.2019.00122,,,20
anjiperera,https://doi.org/10.1145/3377811.3380332,tool,ProM,"56,66",10.1007/11575771_11,http://www.promtools.org/,"5,6",30
anjiperera,https://doi.org/10.1145/3377811.3380332,stepping stones,BS,35,10.1109/ICSM.2003.1235404,,8,
anjiperera,https://doi.org/10.1145/3377811.3380332,stepping stones,FS,44,10.1145/2950290.2950293,,8,
