sourceDOI,reusedDOI,type,comment,sourceReference,alternativeID,sourceReferenceDetail,contributor
"10.1145/3368089.3409695","10.1145/3340482.3342742","Tool","SZZ","[13]","https://github.com/wogscpar/SZZUnleashed","","bhermann"
"10.1145/3368089.3409695","10.1109/SCAM.2012.20","Methodology","replication study Bavota et al.","8","","","mtbaldassarre"
"10.1145/3368089.3409695","10.1145/3340482.3342742","Tool","SZZ","13	","","","mtbaldassarre"
"10.1145/3368089.3409695","10.1145/3180155.3180206","Tool","RMiner","47 ","","","mtbaldassarre"
"10.1145/3368089.3409675","10.1145/2791060.2791108","Metric","compare to their qual results. Maybe theory reuse","5","","p341","neilernst"
"10.1145/3368089.3409675","10.1145/2884781.2884833","Methodology","grounded theory in SE [40] Stol et al.","40","","p339","bhermann"
"10.1145/3368089.3409675","10.1145/2559206.2567812","Methodology","card sorting broken citation - might be this doi from CHI ","[10]","","","bhermann"
"10.1145/3368089.3409675","10.1145/2884781.2884833","Methodology","grounded theory","40","","","mtbaldassarre"
"10.1145/3368089.3409675","10.1145/2559206.2567812","Methodology","card sorting approach (to identify topics)","10","","","mtbaldassarre"
"10.1145/3368089.3409675","10.1145/2791060.2791108","Metric","features of configurations","[5]","","","mtbaldassarre"
"10.1145/3368089.3409742","10.1145/227607.227610","Methodology","reproduction of","63","","","neilernst"
"10.1145/3368089.3409742","10.1016/j.jss.2019.07.100","Dataset","use their SLR","75","","","neilernst"
"10.1145/3368089.3409742","10.1145/2931037.2948707","Tool","PIT","10","","","neilernst"
"10.1145/3368089.3409742","10.1016/j.infsof.2017.03.002","Statistics","spearman's binning","27","","","neilernst"
"10.1145/3368089.3409742","10.1109/QSIC.2011.19","Tool","EvoSuite","28","","","neilernst"
"10.1145/3368089.3409742","10.1145/227607.227610","Methodology","Reproduction of the work by Offutt et al.","63","","","mtbaldassarre"
"10.1145/3368089.3409742","10.1145/2931037.2948707","Tool","PIT v1.2.0","10","","","mtbaldassarre"
"10.1145/3368089.3409742","10.1109/QSIC.2011.19","Tool","EvoSuite","28","","","mtbaldassarre"
"10.1145/3368089.3409742","10.1016/j.jss.2019.07.100","Dataset","prevoius SLR for conducting the study","75","","","mtbaldassarre"
"10.1145/3377811.3380373","10.1145/3241743","Methodology","judgement study","57","","3","anjiperera"
"10.1145/3377811.3380373","","Dataset","ASTRail was the case study","footnote 1","http://astrail.eu/","2,3","anjiperera"
"10.1145/3377811.3380373","","Tool","UMC","footnote 5","http://fmt.isti.cnr.it/umc/V4.8/umc.html","4","anjiperera"
"10.1145/3377811.3380373","","Tool","UPPAAL SMC","footnote 6","http://people.cs.aau.dk/~adavid/smc/","4","anjiperera"
"10.1145/3377811.3380373","","Tool","Atelier B - Free community edition available","footnote 7","https://www.atelierb.eu/en/","4","anjiperera"
"10.1145/3377811.3380373","","Tool","ProB","footnote 8","https://www3.hhu.de/stups/prob","4","anjiperera"
"10.1145/3377811.3380373","10.1007/978-3-319-10575-8","Tool","NuSMV - extended in [21]","21","http://nusmv.fbk.eu","4","anjiperera"
"10.1145/3377811.3380373","","Tool","SPIN","footnote 12","http://spinroot.com/spin/whatispin.html","4","anjiperera"
"10.1145/3377811.3380373","","Tool","CADP - free academic license","footnote 13","https://cadp.inria.fr","4","anjiperera"
"10.1145/3377811.3380373","","Tool","FDR4 -free academic and research license","footnote 14","https://www.cs.ox.ac.uk/projects/fdr/","4","anjiperera"
"10.1145/3377811.3380373","10.1111/nhs.12048","Methodology","Thematic analysis","58","","6","anjiperera"
"10.1145/3377811.3380367","10.1145/1065010.1065034","Tool","Pin framework","37","","2","anjiperera"
"10.1145/3377811.3380367","10.1109/TSE.2014.2301725","Methodology","lock dependency","6","","2","anjiperera"
"10.1145/3377811.3380367","10.1145/1542476.1542489","Methodology","lock dependency","29","","2","anjiperera"
"10.1145/3377811.3380367","10.1109/ASE.2017.8115684","Stepping stone","UNDEAD","54","","7","anjiperera"
"10.1145/3377811.3380367","10.1109/TSE.2014.2301725","Stepping stone","MAGICLOCK","6","","1,7","anjiperera"
"10.1145/3377811.3380367","","Tool","Stress testing tool ","footnote 6","https://github.com/akopytov/sysbench","9","anjiperera"
"10.1145/3377811.3380353","","Tool","Udacity","47","https://github.com/udacity/self-driving-car-sim","2","anjiperera"
"10.1145/3377811.3380353","","Tool","DAVE-2","9","arxiv:1604.07316","6","anjiperera"
"10.1145/3377811.3380353","","Tool","Epoch","41","https://github.com/udacity/self-driving-car/tree/master/steering-models/community-models/cg23","6","anjiperera"
"10.1145/3377811.3380353","","Tool","Chauffeur","40","https://github.com/udacity/self-driving-car/tree/master/steering-models/community-models/chauffeur","6","anjiperera"
"10.1145/3377811.3380353","","Tool","Unity3D snow mountain track","46","https://assetstore.unity.com/packages/3d/environments/roadways/mountain-race-track-53775","6","anjiperera"
"10.1145/3377811.3380353","","Tool","Unity3D particle system","32","https://docs.unity3d.com/ScriptReference/ParticleSystem.html","7","anjiperera"
"10.1145/3377811.3380353","10.1145/3238147.3238187","Stepping stone","re-implemented since tool is not publicly available","55","","8","anjiperera"
"10.1145/3377811.3380338","10.1145/2931037.2948705","Tool","JGenProg, JKali, JMutRepair","38","","4","anjiperera"
"10.1145/3377811.3380338","10.1007/978-3-319-99241-9_3","Tool","Cardumen","39","","4","anjiperera"
"10.1145/3377811.3380338","10.1109/AST.2016.021","Tool","DynaMoth","8","","4","anjiperera"
"10.1145/3377811.3380338","10.1109/TSE.2016.2560811","Tool","Nopol","64","","4","anjiperera"
"10.1145/3377811.3380338","10.1109/ICSE.2017.45","Tool","ACS","63","","4","anjiperera"
"10.1145/3377811.3380338","10.1145/3213846.3213871","Tool","SimFix","15","","4","anjiperera"
"10.1145/3377811.3380338","10.1109/ICST.2019.00020","Tool","kPAR","29","","4","anjiperera"
"10.1145/3377811.3380338","10.1007/s10664-019-09780-z","Tool","FixMiner","19","","4","anjiperera"
"10.1145/3377811.3380338","10.1109/SANER.2019.8667970","Tool","AVATAR","30","","4","anjiperera"
"10.1145/3377811.3380338","10.1145/3293882.3330577","Tool","TBar","31","","4","anjiperera"
"10.1145/3377811.3380338","10.1109/TSE.2018.2874648","Tool","ARJA, GenProg-A, Kali-A, RSRepair-A","67","","4","anjiperera"
"10.1145/3377811.3380338","10.1145/2610384.2628055","Dataset","Defects4J","16","","5","anjiperera"
"10.1145/3377811.3380338","10.1109/TAIC.PART.2007.13","Metric","Ochiai ranking metric","1","","5","anjiperera"
"10.1145/3377811.3380338","","Tool","GZoltar v1.7.2","","https://github.com/GZoltar/gzoltar/releases/tag/v1.7.2","5","anjiperera"
"10.1145/3377811.3380338","10.1145/2483760.2483785","Metric","efficiency metric","47","","6","anjiperera"
"10.1145/3377811.3380336","","Methodology","SLR guidelines, Kitchenham et al.","34","http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.117.471&rep=rep1&type=pdf","3","anjiperera"
"10.1145/3377811.3380336","","Methodology","survey guidelines","30","The Survey Research Handbook","3","anjiperera"
"10.1145/3377811.3380336","","Methodology","puposive sampling frame","44","Impact Evaluation of Smoke-Free Mass Media Campaign On Knowledge, Attitude and Behavior of the Target Audience In India","4","anjiperera"
"10.1145/3377811.3380336","10.1145/2884781.2884833","Methodology","grounded theory","","","6","anjiperera"
"10.1145/3377811.3380924","10.18653/v1/N19-1423","Methodology","BERT","6","","4","anjiperera"
"10.1145/3377811.3380924","","Methodology","","18","https://aclanthology.org/N04-1020.pdf","4","anjiperera"
"10.1145/3377811.3380924","","Methodology","","19","https://dl.acm.org/doi/10.5555/1622572.1622576","4","anjiperera"
"10.1145/3377811.3380924","","Methodology","USE","2","arxiv:1803.11175","6","anjiperera"
"10.1145/3377811.3380924","","Methodology","en_core_web_lg","footnote 7","https://spacy.io/models/en","7","anjiperera"
"10.1145/3377811.3380924","10.3115/v1/D14-1162","Methodology","GloVe","31","","8","anjiperera"
"10.1145/3377811.3380924","","Methodology","Adam Optimiser","15","arxiv:1412.6980","8","anjiperera"
"10.1145/3377811.3380924","","Tool","Common Crawl","footnote 8","https://commoncrawl.org/","8","anjiperera"
"10.1145/3377811.3380924","","Methodology","Negative Sampling","23","https://dl.acm.org/doi/10.5555/2999792.2999959","8","anjiperera"
"10.1145/3377811.3380359","","Tool","FPGen","footnote 8","https://github.com/ucd-plse/FPGen","8","anjiperera"
"10.1145/3377811.3380359","10.1145/2555243.2555265","Stepping stone","S3FP","16","","2","anjiperera"
"10.1145/3377811.3380359","10.1109/ASE.2017.8115670","Stepping stone","KLEE-FLOAT","28","","2","anjiperera"
"10.1145/3377811.3380359","10.1145/2509136.2509526","Sanity check","Cancellation check","10","","5","anjiperera"
"10.1145/3377811.3380359","10.1016/j.parco.2012.08.002","Sanity check","Cancellation check","25","","5","anjiperera"
"10.1145/3377811.3380359","","Tool","KLEE-Float - SE engine","3","https://github.com/srg-imperial/klee-float","8","anjiperera"
"10.1145/3377811.3380359","10.1145/2555243.2555265","Methodology","","16","","9","anjiperera"
"10.1145/3377811.3380405","10.1109/ICSE.2019.00122","Methodology","taxonomy of documentation issues","2","","","anjiperera"
"10.1145/3377811.3380332","10.1007/11575771_11","Tool","ProM","56,66","http://www.promtools.org/","5,6","anjiperera"
"10.1145/3377811.3380332","10.1109/ICSM.2003.1235404","Stepping stone","BS","35","","8","anjiperera"
"10.1145/3377811.3380332","10.1145/2950290.2950293","Stepping stone","FS","44","","8","anjiperera"
"10.1145/3377811.3380927","","Tool","Adapting requirements models to varying environments","1","http://formal.cs.utah.edu:8080/pbl/PBL.php","58","aaleti"
"10.1145/3377811.3380927","10.1007/3-540-45657-0_29","Tool","NuSMV2 2.6","16","","58","aaleti"
"10.1145/3377811.3380927","10.1007/978-3-319-23708-4_2","Tool","RASPAL learning-based revision tool","10","","58","aaleti"
"10.1145/3377811.3380392","10.1109/MSR.2016.056","Dataset","AndroZoo","5","","1325","aaleti"
"10.1145/3377811.3380392","","Tool","Android Monkey","8","https://developer.android.com/studio/test/monkey.html","1326","aaleti"
"10.1145/3377811.3380392","10.1109/TSE.2016.2584050","Statistics","ESD","45","","1327","aaleti"
"10.1145/3377811.3380392","","Tool","NLTK library","34","https://www.nltk.org","1327","aaleti"
"10.1145/3377811.3380354","","Tool","AndroGuard tool","Desnos et al. 2011","http://lilicoding.github.io/SA3Repo/papers/2011_desnos2011android.pdf","1563","aaleti"
"10.1145/3377811.3380354","10.1145/2382196.2382222","Tool","PScout, which produces a mapping between per- missions and API calls","Au et al. 2012","","1563","aaleti"
"10.1145/3377811.3380354","10.1109/SP.2012.16","Dataset","Android Malware Genome Project (Genome)","Zhou and Jiang 2012","","1563","aaleti"
"10.1145/3377811.3380354","10.14722/ndss.2014.23247","Dataset","Drebin Dataset (Drebin)","Arp et al. 2014","","1563","aaleti"
"10.1145/3377811.3380354","10.1007/978-3-319-60876-1_12","Dataset","AMD Project (AMD)","Wei et al. 2017","","1563","aaleti"
"10.1145/3377811.3380438","10.1145/2594291.2594299","Tool","FlowDroid","1","","1063","aaleti"
"10.1145/3377811.3380438","","Tool","Soot","14","http://www.bodden.de/pubs/lblh11soot.pdf","1063","aaleti"
"10.1145/3377811.3380438","10.1007/3-540-36579-6_12","Tool","Spark","15","","1063","aaleti"
"10.1145/3377811.3380438","","Tool","Apktool","footnote 5","https://ibotpeaches.github.io/Apktool/","1065","aaleti"
"10.1145/3377811.3380328","","Methodology","Faster R-CNN","66","https://proceedings.neurips.cc/paper/2015/file/14bfa6bb14875e45bba028a21ed38046-Paper.pdf","311","aaleti"
"10.1145/3377811.3380328","","Methodology","VGGNet","69","arxiv:1409.1556","311","aaleti"
"10.1145/3377811.3380328","","Methodology","AlexNet","45","https://papers.nips.cc/paper/2012/file/c399862d3b9d6b76c8436e924a68c45b-Paper.pdf","311","aaleti"
"10.1145/3377811.3380328","","Tool","TensorFlow Object Detection API","19","https://github.com/tensorflow/models/tree/master/research/object_detection","312","aaleti"
"10.1145/3377811.3380328","10.1109/ICSE.2013.6606553","Methodology","RERAN","35","","313","aaleti"
"10.1145/3377811.3380328","","Tool","FFmpeg tool","10","http://ffmpeg.org/","312","anjiperera"
"10.1145/3377811.3380328","10.1109/TSE.2018.2844788","Dataset","ReDraw dataset","59","","312","anjiperera"
"10.1145/3377811.3380369","10.1109/ICSE-SEIP.2017.16","Sanity check","selecting a subset of tests, instead of prioritizing them","22","","3","aaleti"
"10.1145/3377811.3380369","10.1145/3092703.3092709","Sanity check","using a temporal threshold excluding the lowest priority ones","28","","3","aaleti"
"10.1145/3377811.3380369","","Tool","scitools","footnote 2","http://scitools.com","3","aaleti"
"10.1145/3377811.3380369","10.2200/S00348ED1V01Y201104HLT012","Sanity check","use pointwise, pairwise or listwise algorithms ","18","","3","aaleti"
"10.1145/3377811.3380369","","Tool","Weka","footnote 4","https://www.cs.waikato.ac.nz/ml/weka/","4","aaleti"
"10.1145/3377811.3380369","","Tool","Knime","footnote 5","https://www.knime.com/knime-software","4","aaleti"
"10.1145/3377811.3380369","","Tool","RankLib library","footnote 6","https://sourceforge.net/p/lemur/wiki/RankLib/","4","aaleti"
"10.1145/3377811.3380369","10.1080/03610928008827904","Statistics","Iman and Davemport extension","11","","6","aaleti"
"10.1145/3377811.3380432","10.1145/3140587.3062378","Dataset","introduced in Blazer","7","","1011","aaleti"
"10.1145/3377811.3380432","10.1145/3133956.3134058","Dataset","introduced in Themis","17","","1011","aaleti"
"10.1145/3377811.3380432","10.1109/ICSE.2019.00034","Dataset","introduced in DiffFuzz","39","","1011","aaleti"
"10.1145/3377811.3380432","10.1145/3140587.3062378","Tool","Blazer","7","","1019","anjiperera"
"10.1145/3377811.3380432","10.1145/3133956.3134058","Tool","Themis","17","","1019","anjiperera"
"10.1145/3377811.3380432","10.1109/ICSE.2019.00034","Tool","DiffFuzz","39","","1019","anjiperera"
"10.1145/3377811.3380432","","Tool","grey-box fuzzer AFL","53","http://lcamtuf.coredump.cx/afl/","1013","aaleti"
"10.1145/3377811.3380432","","Tool","Janalyzer","8","https://www.isis.vanderbilt.edu/node/4850","1014","aaleti"
"10.1145/3377811.3380432","10.1145/53990.53994","Methodology","system dependence graph (SDG)","29","","1014","aaleti"
"10.1145/3377811.3380344","10.1109/MSR.2013.6624030","Methodology","categorising projects Souza et al.","23","","803","aaleti"
"10.1145/3377811.3380344","10.1145/2597073.2597074","Methodology","guidelines presented by Kalliamvakou et al. for mining Git repositories","36","","803","aaleti"
"10.1145/3377811.3380344","10.1145/2961111.2962606","Methodology","grouped these factors into five unique di- mensions: size, complexity, diffusion, development pattern and comment ","62","","804","aaleti"
"10.1145/3377811.3380344","","Methodology","checked for multicollinearity using the Variance Inflation Factor (VIF)","19","https://www.taylorfrancis.com/books/mono/10.4324/9781410606266/applied-multiple-regression-correlation-analysis-behavioral-sciences-patricia-cohen-patricia-cohen-stephen-west-leona-aiken","805","aaleti"
"10.1145/3377811.3380344","10.1109/ICSE.2013.6606619","Sanity check","used a subset of these factors as a proxy for difficulty of a conflict","37","","805","aaleti"
"10.1145/3377811.3380344","10.1016/j.jss.2011.04.065","Sanity check","used a subset of these factors as a proxy for difficulty of a conflict","51","","805","aaleti"
"10.1145/3377811.3380344","10.1007/978-3-030-05318-5_4","Tool","Auto-WEKA","38","","806","aaleti"
"10.1145/3377811.3380398","","Methodology","SMT-LIB standard","12","https://smtlib.cs.uiowa.edu/language.shtml","1460","aaleti"
"10.1145/3377811.3380398","10.1145/2491411.2491456","Methodology","reprocessing rules","35","","1461","aaleti"
"10.1145/3377811.3380398","","Methodology","SMT- LIB specification","5","http://smtlib.cs.uiowa.edu/theories-","1463","aaleti"
"10.1145/3377811.3380398","10.1145/3236024.3236064","Tool","utomata-based solver MT-ABC","11","","1464","aaleti"
"10.1145/3377811.3380398","10.1007/978-3-319-96142-2_6","Stepping stone","StringFuzz","16","","1468","anjiperera"
"10.1145/3377811.3380398","","Tool","Z3-seq","7","https://github.com/Z3Prover/z3/","1460","anjiperera"
"10.1145/3377811.3380398","10.23919/FMCAD.2017.8102241","Tool","Z3str3","13","","1460","anjiperera"
"10.1145/3377811.3380398","10.1007/s10703-016-0247-6","Tool","CVC4","25","","1460","anjiperera"
"10.1145/3377811.3380330","10.1007/s10664-008-9102-8","Methodology","user study design","40","","655","aaleti"
"10.1145/3377811.3380330","10.1016/j.iheduc.2005.11.001","Methodology","negotiated agreement","13","","656","aaleti"
"10.1145/3377811.3380330","","Methodology","categorising interviews with Pattern Coding","33","https://us.sagepub.com/en-us/nam/qualitative-data-analysis/book246128","656","aaleti"
"10.1145/3377811.3380330","","Methodology","qualitative coding","41","https://us.sagepub.com/en-us/nam/book/coding-manual-qualitative-researchers-1","656","aaleti"
"10.1145/3377811.3380330","10.1109/TSE.2018.2877759","Methodology","observed biases","34","","657","aaleti"
"10.1145/3377811.3380330","10.1016/0010-0285(73)90033-9","Methodology","the definitions of biases in cognitive science literature","50","","657","aaleti"
"10.1145/3377811.3380330","10.1126/science.185.4157.1124","Methodology","the definitions of biases in cognitive science literature","51","","657","aaleti"
"10.1145/3377811.3380330","","Statistics","Cramer’s V measure","39","https://analysis.mitre.org/proceedings/Final_Papers_Files/206_Camera_Ready_Paper.pdf","658","aaleti"
"10.1145/3377811.3380350","10.1145/263699.263717","Methodology","queue-based model checker for the testing procedure","27","","1489","anjiperera"
"10.1145/3377811.3380350","","Tool","QEMU","12","https://dl.acm.org/doi/10.5555/1247360.1247401","1490","anjiperera"
"10.1145/3377811.3380350","","Tool","CrashMonkey","41","https://dl.acm.org/doi/10.5555/3154601.3154607","1490","anjiperera"
"10.1145/3377811.3380350","","Stepping stone","Syzkaller (informal comparison)","5","https://github.com/google/syzkaller","1491","anjiperera"
"10.1145/3377811.3380350","","Stepping stone","CrashMonkey has a built-in workload generator ACE","45","https://dl.acm.org/doi/abs/10.5555/3291168.3291172","1491","anjiperera"
"10.1145/3377811.3380350","","Tool","KProbes","58","https://lwn.net/Articles/132196/","1491","anjiperera"
"10.1145/3377811.3380327","10.1145/3180155.3180240","Tool","app explorer","32","","324","anjiperera"
"10.1145/3377811.3380327","10.1093/ije/dyq191","Statistics","Spearman rank-order correlation test","67","","325","anjiperera"
"10.1145/3377811.3380327","","Methodology","Transformer model","68","https://dl.acm.org/doi/10.5555/3295222.3295349","325","anjiperera"
"10.1145/3377811.3380327","10.1109/CVPR.2016.90","Methodology","CNN, ResNet-101 architecture","46","","325","anjiperera"
"10.1145/3377811.3380327","10.1007/978-3-319-10602-1_48","Dataset","MS COCO dataset (used to pretrain CNN)","57","https://cocodataset.org/","328","anjiperera"
"10.1145/3377811.3380327","","Tool","Adam Optimiser","51","arxiv:1412.6980","328","anjiperera"
"10.1145/3377811.3380327","10.3115/1073083.1073135","Metric","BLEU","62","","328","anjiperera"
"10.1145/3377811.3380327","","Metric","METEOR","26","https://dl.acm.org/doi/10.5555/1626355.1626389","328","anjiperera"
"10.1145/3377811.3380327","10.3115/1073445.1073465","Metric","ROGUE","56","","328","anjiperera"
"10.1145/3377811.3380327","10.1109/CVPR.2015.7299087","Metric","CIDEr","69","","328","anjiperera"
"10.1145/3377811.3380327","","Tool","coco-caption code","39","arxiv:1504.00325","328","anjiperera"
"10.1145/3377811.3380327","10.1109/CVPR.2015.7298935","Stepping stone","CNN + LSTM","70","","328","anjiperera"
"10.1145/3377811.3380327","10.1109/CVPR.2018.00583","Stepping stone","CNN + CNN","22","","329","anjiperera"
"10.1145/3377811.3380327","","Metric","accessibility score","45","https://www.semanticscholar.org/paper/Overview-of-the-Patent-Machine-Translation-Task-at-Goto-Chow/7c27562748cb9e7b970f516c0eb89e11986dcc4b","330","anjiperera"
"10.1145/3377811.3380417","","Methodology","WORD2VEC","57","arxiv:1301.3781","1313","anjiperera"
"10.1145/3377811.3380417","","Tool","SUPOR","52","https://dl.acm.org/doi/10.5555/2831143.2831205","1313","anjiperera"
"10.1145/3377811.3380417","","Stepping stone","AndroBugs","2","https://github.com/AndroBugs/","1315","anjiperera"
"10.1145/3377811.3380417","","Stepping stone","QARK","16","https://github.com/linkedin/qark","1315","anjiperera"
"10.1145/3377811.3380417","","Stepping stone","MOBSF","13","https://github.com/MobSF/Mobile-Security-Framework-MobSF","1315","anjiperera"
"10.1145/3377811.3380417","","Stepping stone","Qihoo360, industry tool","17","http://appscan.360.cn/","1315","anjiperera"
"10.1145/3377811.3380417","10.1145/2666356.2594299","Stepping stone","FlowDroid","29","","1315","anjiperera"
"10.1145/3377811.3380417","10.1109/ICSE.2015.48","Stepping stone","ICCTA","54","","1315","anjiperera"
"10.1145/3377811.3380389","","Dataset","PROMISE","","http://openscience.us/repo/defect/","579","anjiperera"
"10.1145/3377811.3380389","10.1145/3065386","Methodology","AlexNet","19","","579","anjiperera"
"10.1145/3377811.3380389","","Methodology","deep transfer learning","20","https://dl.acm.org/doi/10.5555/3045118.3045130","579","anjiperera"
"10.1145/3377811.3380389","","Methodology","self attention mechanism","21","arxiv:1805.08318","579","anjiperera"
"10.1145/3377811.3380389","","Metric","MK-MMD","69","https://dl.acm.org/doi/10.5555/2999134.2999269","580,583","anjiperera"
"10.1145/3377811.3380389","10.1109/TPAMI.2018.2868685","Methodology","DANs, multi-kernal MMD strategy","68","","582","anjiperera"
"10.1145/3377811.3380389","","Sanity check","why padding is used","74","https://www.semanticscholar.org/paper/An-Overview-of-Convolutional-Neural-Network-for-Murphy/64db333bb1b830f937b47d786921af4a6c2b3233","582","anjiperera"
"10.1145/3377811.3380389","10.1145/2884781.2884804","Stepping stone","Semantic, PROMISE-DP, DBN-CP","16","","584","anjiperera"
"10.1145/3377811.3380389","10.1109/TSE.2018.2877612","Stepping stone","Semantic, DBN-CP","75","","584","anjiperera"
"10.1145/3377811.3380389","","Stepping stone","DP-LSTM","18","arxiv:1802.00921","584","anjiperera"
"10.1145/3377811.3380389","10.1109/QRS.2017.42","Stepping stone","DP-CNN","17","","584","anjiperera"
"10.1145/3377811.3380389","10.1109/ICSE.2013.6606584","Stepping stone","TCA+","45","","584","anjiperera"
"10.1145/3377811.3380389","10.1145/2884781.2884804","Methodology","processes to obtain the training and testing data","16","","584","anjiperera"
"10.1145/3377811.3380436","10.1145/290941.291025","Methodology","MMR","30","","113","anjiperera"
"10.1145/3377811.3380436","","Tool","ASM bytecode analysis framework","6","https://asm.ow2.io/","113","anjiperera"
"10.1145/3377811.3380436","","Tool","Indri IR framework","8","http://www.lemurproject.org/indri.php","113","anjiperera"
"10.1145/3377811.3380436","10.1145/1401890.1401960","Methodology","Gibbs sampling generative model","61","","115","anjiperera"
"10.1145/3377811.3380436","","Methodology","BM25","82","https://dl.acm.org/doi/book/10.5555/1121636","115","anjiperera"
"10.1145/3377811.3380436","10.1145/2950290.2950361","Methodology","STARTS","50","","116","anjiperera"
"10.1145/3377811.3380408","10.1109/MSR.2013.6624034","Dataset","GHTorrent","20","","398","anjiperera"
"10.1145/3377811.3380408","10.1145/2858965.2814300","Methodology","...classified the size of these projects into the following five bins...","47","","399","anjiperera"
"10.1145/3377811.3380381","10.1145/3196478.3196484","Dataset","Simulink models corpus","14","","341","anjiperera"
"10.1145/3377811.3380381","10.1145/3180155.3180231","Stepping stone","SLForge","13","https://github.com/verivital/slsf_randgen/wiki","341","anjiperera"
"10.1145/3377811.3380381","10.1145/2993412.3004853","Metric","number of model blocks","47","","341","anjiperera"
"10.1145/3377811.3380404","10.1109/ICSME.2014.88","Methodology","adapted methodologies of prior SO analysis work","10","","1585","anjiperera"
"10.1145/3377811.3380404","10.1145/3210459.3210466","Methodology","adapted methodologies of prior SO analysis work","37","","1585","anjiperera"
"10.1145/3377811.3380404","10.1109/ICSE.2019.00122","Methodology","SO question classification schemes","1","","1585, 1588","anjiperera"
"10.1145/3377811.3380404","10.1145/3196321.3196333","Methodology","SO question classification schemes","9","","1585, 1588","anjiperera"
"10.1145/3377811.3380404","","Dataset","Google BigQuery","footnote 4","https://cloud.google.com/blog/topics/public-datasets/google-bigquery-public-datasets-now-include-stack-overflow-q-a","1587","anjiperera"
"10.1145/3377811.3380404","","Tool","irr computational R package","17","https://rdrr.io/cran/irr/","1588","anjiperera"
"10.1145/3377811.3380404","","Methodology","concept of "technical domain"","4","https://researchbank.swinburne.edu.au/items/458ce762-3ba9-441c-a389-933640d828fb/1/","1591","anjiperera"
"10.1145/3377811.3380387","10.1109/ICSE.2013.6606613","Methodology","built on work of Johnson et al.","46","","136","anjiperera"
"10.1145/3377811.3380387","10.1177/1077800414545235","Methodology","GT study is based on [21]","21","","138","anjiperera"
"10.1145/3377811.3380387","","Methodology","3 stage pretesting process","30","Don A Dillman. 2011. Mail and Internet surveys: The tailored design method–2007 Update with new Internet, visual, and mixed-mode guide. John Wiley & Sons","138","anjiperera"
"10.1145/3377811.3380387","10.1046/j.1365-2648.1997.t01-25-00999.x","Methodology","theoretical sampling","26","","138","anjiperera"
"10.1145/3377811.3380387","10.1111/j.2044-8295.2012.02104.x","Methodology","constructivist grounded theory method, have 4 citations in the paper, [22] is the recent one","22","","140","anjiperera"
"10.1145/3377811.3380387","10.1177/0049124113500475","Methodology","to obtain inter-coder agreement","18","","141","anjiperera"
"10.1145/3377811.3380351","10.1145/3196398.3196448","Tool","word2vec model trained over 15GB of textual data from Stack Overflow posts","19","","1437","anjiperera"
"10.1145/3377811.3380351","","Tool","psutil, github link in the paper is broken","41","https://pypi.org/project/psutil/","1438","anjiperera"
"10.1145/3377811.3380351","","Tool","scikit-learn","39","https://dl.acm.org/doi/10.5555/1953048.2078195","1441","anjiperera"
"10.1145/3377811.3380351","","Tool","ScottKnottESD","footnote 10","https://github.com/klainfo/ScottKnottESD","1442","anjiperera"
